transmission_line_id,circuit_id,province,operating_region,owner,number_of_circuits,current,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage_in_kv,reactance_in_ohm,summer_ampacity,winter_ampacity,summer_rating_in_mva,winter_rating_in_mva,power_factor,smax,summer_capacity_in_mw,winter_capacity_in_mw,starting_node_name,starting_node_code,ending_node_name,ending_node_code,notes,sources
15381,223L,AB,Alberta,"Altalink Management Ltd.",1,ac,37.800,23.333,37.800,23.333,144,NULL,NULL,85,90,1,NULL,NULL,77,81,NULL,AB_159S_DSS,NULL,AB_150S_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:19, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15382,225L,AB,Alberta,"Altalink Management Ltd.",1,ac,28.000,17.284,89.600,55.309,69,NULL,NULL,22,29,1,NULL,NULL,20,26,NULL,AB_229S_DSS,NULL,AB_385S_GSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:None, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15383,225L,AB,Alberta,"Altalink Management Ltd.",1,ac,24.500,15.123,89.600,55.309,69,NULL,NULL,24,31,1,NULL,NULL,22,28,NULL,AB_385S_GSS,NULL,AB_225S_GSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:None, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15384,225L,AB,Alberta,"Altalink Management Ltd.",1,ac,16.100,9.938,89.600,55.309,69,NULL,NULL,25,33,1,NULL,NULL,23,29,NULL,AB_225S_GSS,NULL,AB_313S_JCT,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:None, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15385,225L,AB,Alberta,"Altalink Management Ltd.",1,ac,21.000,12.963,89.600,55.309,69,NULL,NULL,25,33,1,NULL,NULL,23,29,NULL,AB_313S_JCT,NULL,AB_67S_GSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:None, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15386,225AL,AB,Alberta,"Altalink Management Ltd.",1,ac,7.000,4.321,7.000,4.321,72,NULL,NULL,NULL,NULL,1,3.00,NULL,39,42,NULL,AB_313S_JCT,NULL,AB_313S_GSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:19, reactance:24, smax:None, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:None, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15387,23.80L,AB,Alberta,"ENMAX Power Corporation",1,ac,4.250,2.623,4.250,2.623,138,NULL,NULL,285,287,1,NULL,NULL,257,258,NULL,AB_74S_DSS,NULL,AB_SS23_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15388,234L,AB,Alberta,"Altalink Management Ltd.",1,ac,36.000,22.222,36.000,22.222,72,NULL,NULL,NULL,NULL,1,3.00,NULL,39,42,NULL,AB_310P_JCT,NULL,AB_310P_GSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:19, reactance:24, smax:None, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:None, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15389,24.81L,AB,Alberta,"ENMAX Power Corporation",1,ac,7.650,4.722,7.650,4.722,138,NULL,NULL,287,287,1,NULL,NULL,258,258,NULL,AB_SS31_DSS,NULL,AB_SS24_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15390,24.82L,AB,Alberta,"ENMAX Power Corporation",1,ac,11.050,6.821,11.050,6.821,138,NULL,NULL,285,350,1,NULL,NULL,257,315,NULL,AB_SS65_DSS,NULL,AB_SS24_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
