name,node_code,node_type,owner,province,latitude,longitude,planning_region,sources,notes
Buchanan Creek 927S,AB_927S_DSS,DSS,ATCO Electric Ltd.,AB,56.908973,-117.58177,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
East Stavely 928S,AB_928S_DSS,DSS,Altalink Management Ltd.,AB,50.166791,-113.391505,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Viscount 92S,AB_92S_DSS,DSS,Altalink Management Ltd.,AB,53.652835,-113.56686,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Arcenciel 930S ,AB_930S_DSS,DSS,ATCO Electric Ltd.,AB,58.415456,-119.289403,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Bohn 931S,AB_931S_DSS,DSS,ATCO Electric Ltd.,AB,55.825207,-110.789795,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Pemukan 932S,AB_932S_DSS,DSS,ATCO Electric Ltd.,AB,51.984771,-110.60364,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Tower Road 933S,AB_933S_DSS,DSS,ATCO Electric Ltd.,AB,56.747523,-111.506914,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Norberg 936S,AB_936S_DSS,DSS,ATCO Electric Ltd.,AB,54.271603,-111.47533,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Livock 939S,AB_939S_DSS,DSS,ATCO Electric Ltd.,AB,56.380991,-113.006052,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Beartrap 940S,AB_940S_DSS,DSS,ATCO Electric Ltd.,AB,54.204387,-110.500795,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Lowe Lake 944S,AB_944S_DSS,DSS,ATCO Electric Ltd.,AB,55.331514,-119.211216,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Sunshine Village 945S,AB_945S_DSS,DSS,Altalink Management Ltd.,AB,51.166721,-115.68657,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Oakland 946S,AB_946S_DSS,DSS,ATCO Electric Ltd.,AB,51.357033,-111.806536,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Weasel Creek 947S,AB_947S_DSS,DSS,Altalink Management Ltd.,AB,54.150097,-112.811935,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Heatburg 948S,AB_948S_DSS,DSS,ATCO Electric Ltd.,AB,52.142017,-113.239779,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Germain 950S,AB_950S_DSS,DSS,ATCO Electric Ltd.,AB,56.367112,-113.395382,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Thickwood Hills 951S,AB_951S_DSS,DSS,ATCO Electric Ltd.,AB,56.770231,-111.713545,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Lake Louise 953S,AB_953S_DSS,DSS,Altalink Management Ltd.,AB,51.429992,-116.174277,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Watt Lake 956S,AB_956S_DSS,DSS,ATCO Electric Ltd.,AB,53.804055,-111.933911,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Mcclelland 957S,AB_957S_DSS,DSS,ATCO Electric Ltd.,AB,57.4292,-111.143589,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Lanfine 959S,AB_959S_DSS,DSS,ATCO Electric Ltd.,AB,51.405301,-110.561189,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Birchwood Creek 960S,AB_960S_DSS,DSS,ATCO Electric Ltd.,AB,56.763376,-112.133568,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Coyote Lake 963S,AB_963S_DSS,DSS,ATCO Electric Ltd.,AB,51.442463,-112.211905,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Pigeon Lake 964S,AB_964S_DSS,DSS,Altalink Management Ltd.,AB,52.988004,-113.90107,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Bourque 970S,AB_970S_DSS,DSS,ATCO Electric Ltd.,AB,54.626967,-110.557932,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Tinchebray 972S,AB_972S_DSS,DSS,ATCO Electric Ltd.,AB,52.384324,-112.04683,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Dalehurst 975S,AB_975S_DSS,DSS,Altalink Management Ltd.,AB,53.507755,-117.339067,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Salt Creek 977S,AB_977S_DSS,DSS,ATCO Electric Ltd.,AB,56.592877,-111.311854,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
