date,g628,g636,g637,g644,g640,g629,g632,g633,g641,g635,g643,g630,g639,g631,g646,g627,g634,g642,g638,g645
2018-05-03 11:00:00,44645.39343305288,230.40000000000006,0.0,0.0,0.0,19558.197304708363,757.967005434757,0.0,0.0,1135.0471485808564,1511.2947097798542,0.0,0.0,109.59497823974662,302.93628934330485,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 12:00:00,44645.39343305288,230.40000000000006,0.0,0.0,0.0,19687.728845727932,830.171169026215,0.0,0.0,1784.4718601525674,2157.5312583973555,0.0,0.0,109.59497823974662,521.7399796210923,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 13:00:00,44645.39343305288,230.40000000000006,0.0,0.0,0.0,20430.78537407722,974.1804534491299,0.0,0.0,2433.896571724279,2803.767807014857,0.0,0.0,208.17956712157948,671.8885438380539,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 14:00:00,44645.39343305288,230.40000000000006,0.0,0.0,0.0,20430.78537407722,974.1804534491299,0.0,0.0,3083.3212832959907,2803.767807014857,0.0,0.0,195.04855588152583,671.8885438380539,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 15:00:00,39852.70179220939,203.84771196299653,0.0,0.0,0.0,20477.39796489906,1118.1897378720446,0.0,0.0,3083.3212832959907,2803.767807014857,0.0,0.0,195.04855588152583,671.8885438380539,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 16:00:00,40206.053670629146,203.84771196299653,0.0,0.0,0.0,20477.39796489906,1118.1897378720446,0.0,0.0,3083.3212832959907,2803.767807014857,0.0,0.0,195.04855588152583,671.8885438380539,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 17:00:00,41051.0842046263,230.40000000000006,0.0,0.0,0.0,20477.39796489906,1118.1897378720446,0.0,0.0,3083.3212832959907,2803.767807014857,0.0,0.0,231.96373854548904,671.8885438380539,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 18:00:00,41051.0842046263,230.40000000000006,0.0,0.0,0.0,20477.39796489906,1118.1897378720446,0.0,0.0,3083.3212832959907,2803.767807014857,0.0,0.0,231.96373854548904,671.8885438380539,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 19:00:00,41051.0842046263,230.40000000000006,0.0,0.0,0.0,20477.39796489906,1118.1897378720446,0.0,0.0,3083.3212832959907,2803.767807014857,0.0,0.0,231.96373854548904,671.8885438380539,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 20:00:00,41051.0842046263,230.40000000000006,0.0,0.0,0.0,20477.39796489906,1118.1897378720446,0.0,0.0,3083.3212832959907,2803.767807014857,0.0,0.0,231.96373854548904,671.8885438380539,0.0,211.04192353100768,0.0,0.0,0.0
